Number of frames:153878
837,849,AU19
855,880,AU28
951,1160,RTF
2733,2745,AU28
2748,2763,AU19
2767,2827,AU28
4588,4607,AU19
4611,4641,AU28
6961,6977,AU19
6979,6998,AU28
7320,7454,RTF
8407,8426,AU19
8426,8446,AU28
10083,10104,AU19
10104,10125,AU28
11664,11681,AU19
11682,11706,AU28
14173,14200,AU19
15487,15508,AU19
15509,15535,AU28
18065,18081,AU19
18082,18087,AU28
19539,19557,AU19
19558,19565,AU28
21957,21979,AU19
21983,22004,AU28
23327,23347,AU19
23348,23372,AU28
23821,24363,RTF
27580,27611,AU19
27612,27646,AU28
29558,29572,AU19
29575,29578,AU28
30633,30651,AU19
30653,30674,AU28
33009,33025,AU28
33419,33434,AU19
33435,33440,AU28
34575,34743,RTF
35201,35221,AU19
35223,35245,AU28
38320,38341,AU19
38344,38357,AU28
39983,40003,AU19
40004,40012,AU28
40108,40187,AU28
40980,40997,AU19
42935,42953,AU19
43167,43240,RTF
45383,45401,AU19
45401,45414,AU28
46154,46172,AU19
46173,46200,AU28
47474,47490,AU19
48263,48276,AU19
48280,48298,AU28
50124,50149,AU19
50163,50229,AU28
50835,50856,AU19
50872,50918,AU28
52036,52057,AU19
52057,52088,AU28
53315,53337,AU19
53338,53363,AU28
54660,54674,AU19
56109,56128,AU19
56130,56137,AU28
56885,56908,AU19
56910,56922,AU28
59029,59050,AU19
60328,60347,AU19
60349,60355,AU28
61909,61938,AU19
61938,61968,AU28
65197,65223,AU19
65224,65234,AU28
67339,67362,AU19
68246,68267,AU19
68268,68292,AU28
69281,69300,AU19
69302,69307,AU28
69353,69448,RTF
70640,70664,AU19
70666,70840,AU28
74142,74164,AU19
74168,74173,AU19
74634,74677,RTF
75875,75901,AU19
82605,82625,AU19
82638,82700,AU28
86138,86164,AU19
86166,86179,AU28
86202,86280,AU28
88160,88179,AU19
88179,88189,AU28
90132,90156,AU19
94325,94340,AU19
95226,95242,AU19
96284,96302,AU19
98573,98595,AU19
98637,98648,AU19
100357,100385,AU19
100392,100416,AU28
102914,102941,AU19
102944,102966,AU28
104970,104994,AU19
104997,105008,AU28
105777,105799,AU19
106801,106821,AU19
107820,107834,AU19
107835,107841,AU28
109303,109323,AU19
109324,109342,AU28
110976,111002,AU19
111004,111030,AU28
112243,112273,AU19
113959,113980,AU19
113982,114015,AU28
114024,114043,AU19
114046,114064,AU28
114776,114808,AU19
114812,114887,AU28
116607,116628,AU19
116630,116662,AU28
118020,118034,AU19
119154,119166,AU19
120635,120654,AU19
120658,120680,AU28
122208,122231,AU19
124651,124672,AU19
124673,124681,AU28
125956,125978,AU19
127292,127316,AU19
127319,127324,AU28
128962,128981,AU19
128987,129005,AU28
130660,130684,AU19
130684,130700,AU28
131870,131893,AU19
131905,131911,AU28
132217,132330,RTF
133717,133745,AU19
133747,133758,AU28
135851,135867,AU19
135869,135876,AU28
137232,137251,AU19
137253,137265,AU28
139274,139295,AU19
139295,139315,AU28
140914,140935,AU19
142407,142427,AU19
142429,142464,AU28
144850,144885,RTF
144899,144924,AU19
146249,146267,AU19
147116,147134,AU19
148971,148992,AU19
148993,149015,AU28
149963,149982,AU19
149984,149989,AU28
150866,150878,AU19
150878,150887,AU19
152316,152320,AU28
152324,152339,AU19
152342,152365,AU28
