Number of frames:149115
35577,35634,AU19
35634,35727,AU28
35868,36008,AU28
37198,37943,AU28
45362,45476,AU28
45632,45691,AU28
45822,46114,AU28
46441,46656,AU28
49730,50366,AU28
55487,55540,AU19
55546,55717,AU28
55977,56126,AU28
56286,56308,AU28
56463,56528,AU28
57955,58028,AU28
69943,70236,AU19
74478,74709,AU19
77170,77248,AU28
77763,77948,AU28
78017,78077,AU28
89105,89196,AU19
89933,90035,AU19
92520,92577,AU28
93817,93947,AU19
94157,94241,AU19
96338,96384,AU19
96387,96661,AU28
96886,96943,AU28
132146,132218,AU19
132290,132423,AU28
