Number of frames:159785
4042,4130,AU28
12536,12565,AU28
14709,14809,AU19
14916,14960,AU28
15650,15745,AU28
15878,15889,AU28
29115,29316,AU28
30880,30905,AU28
30997,31063,AU28
34797,34834,AU28
39749,39789,AU28
41760,41839,AU28
43267,43274,AU19
43277,43343,AU28
47393,47404,AU19
47407,47478,AU28
51195,51360,AU28
55141,55209,AU28
57722,57787,AU28
60775,60859,AU28
62688,62739,AU28
72044,72074,AU28
79497,79528,AU28
82445,82471,AU28
92063,92212,AU28
96929,96970,RTF
98378,98507,AU28
101250,101328,AU28
102919,102943,AU28
104850,104954,AU28
110925,110961,AU19
112394,112623,AU28
114832,114881,AU28
117360,117424,AU28
120027,120544,AU28
120695,120936,AU28
120733,120774,AU19
120964,121464,AU28
128108,128154,AU28
128202,128238,AU19
133107,133135,AU19
134501,134509,AU19
134522,134599,AU28
136521,136734,AU28
142385,142413,RTF
148038,148057,AU28
148059,148085,AU19
148088,148117,AU28
152636,152917,AU28
154651,154708,AU19
154709,154860,AU28
158048,158137,AU28
158791,159219,AU28
