Number of frames:179177
8826,8853,AU19
9794,9854,AU28
9899,9980,AU28
9980,10006,AU19
12437,12460,AU19
15143,15430,AU19
17351,17422,AU19
22733,22745,AU19
22770,22808,AU28
24008,24081,AU19
25066,25077,AU28
25077,25144,AU19
25144,25187,AU28
27743,27828,AU28
27856,27919,RTF
32279,32373,RTF
34378,34786,AU28
35989,36023,RTF
36068,36096,AU28
36349,36390,RTF
36508,36518,AU28
37232,37248,AU28
38238,38275,RTF
38311,38472,RTF
38674,38693,RTF
38854,39000,RTF
39056,39186,RTF
39204,39239,AU19
40197,40244,AU28
43061,43133,RTF
47731,47817,AU28
50601,50629,AU19
52312,52323,AU19
52323,52326,AU28
53388,53430,RTF
53752,53787,AU28
55333,55413,AU28
55674,55710,AU28
56313,56418,AU28
56563,56629,RTF
58612,58644,AU28
58662,58718,RTF
61076,61094,AU28
61124,61303,AU28
61387,61505,AU19
61505,61624,AU28
61670,62004,AU28
65080,65135,AU19
66526,66601,AU28
67402,67434,RTF
71021,71051,AU19
74307,74328,AU28
74378,74414,AU19
76032,76091,AU19
78881,78906,AU28
78911,78971,AU19
79622,79743,RTF
80354,80394,RTF
81914,82070,AU28
82390,82478,AU28
83125,83153,AU28
86183,86233,AU19
88021,88084,RTF
90970,91028,AU19
96446,96514,AU28
96811,96832,RTF
97330,97399,AU28
104953,104976,AU19
106214,106267,AU19
108940,108974,AU19
111400,111409,AU19
113409,113435,AU19
113437,113563,AU28
114920,114944,AU19
117189,117430,RTF
117435,117816,RTF
121119,121201,AU19
122100,122141,AU28
122597,122634,AU28
125944,125964,AU19
129140,129160,AU19
129174,129416,AU28
134968,135005,AU19
141596,141621,AU19
147138,147210,RTF
147587,147668,RTF
147782,147786,AU19
147788,147813,AU28
147816,147833,AU19
152507,152530,AU19
155580,155631,AU19
160440,160446,RTF
163192,163266,AU28
163287,163303,AU19
168069,168089,AU19
170713,170801,RTF
171235,171360,AU19
171868,171896,AU19
173619,173638,AU19
174461,174495,AU19
174847,175021,AU28
176451,176489,AU28
