Number of frames:156728
2485,2504,AU28
2790,3012,AU28
6403,6429,AU28
7175,7194,RTF
10931,10957,AU19
11754,11769,RTF
17363,17380,AU19
17384,17415,AU28
17579,17598,RTF
17693,17738,RTF
18938,19008,RTF
19112,19129,AU19
22431,22473,AU19
25151,25226,AU28
29673,29721,AU19
29811,29900,RTF
34804,34826,AU28
35257,35304,RTF
35317,35395,AU28
36528,36552,RTF
36807,36824,AU28
36951,36992,RTF
42380,42400,AU28
42445,42632,AU28
44538,44583,AU28
46669,46686,AU19
46691,46807,AU28
48388,48412,AU28
51377,51403,AU19
54401,54420,AU28
54445,54495,AU28
56244,56273,AU19
56276,56310,AU28
57329,57349,AU19
58375,58404,RTF
59014,59031,AU28
60931,61006,AU19
61007,61034,AU28
61722,61744,RTF
62858,62937,AU28
66692,66724,AU28
67121,67145,AU28
68040,68060,AU28
68536,68576,AU28
69602,69620,AU19
69622,69639,AU28
69802,69831,AU28
72082,72108,RTF
72971,73004,AU28
74128,74180,AU28
78486,78506,AU28
82122,82148,AU19
82150,82179,AU28
85837,85861,AU19
85862,85873,AU28
93173,93208,AU28
99633,99645,AU28
104226,104258,AU28
105803,105848,AU28
107877,107952,AU28
108090,108149,AU28
110923,111051,AU28
111212,111235,AU28
116622,116751,AU28
117099,117128,AU28
121971,122000,RTF
123785,123800,RTF
124958,125023,AU28
125133,125157,AU28
126788,126872,RTF
129402,129438,AU28
132855,132884,AU19
133198,133349,AU28
135546,135585,AU28
138002,138039,AU28
140019,140072,RTF
140423,140464,RTF
141857,141890,AU28
142974,143038,AU28
143240,143293,AU28
145412,145463,AU28
147731,147752,AU28
148159,148174,AU19
148181,148255,AU28
148506,148530,AU28
148881,149006,AU28
149236,149250,AU28
151347,151372,AU28
151888,151919,RTF
152562,152577,AU28
155155,155174,AU19
155176,155194,AU28
